Start Station ID,closed,latitude,longitude,opened
302,,40.72082834,-73.97793172,2013-01-01 00:00:00
303,,40.72362738,-73.99949601,2013-01-01 00:00:00
304,,40.70463334,-74.01361706,2013-01-01 00:00:00
305,,40.76095756,-73.96724467,2013-01-01 00:00:00
306,,40.70823502,-74.00530063,2013-01-01 00:00:00
307,,40.71427487,-73.98990025,2013-01-01 00:00:00
308,,40.71307916,-73.99851193,2013-01-01 00:00:00
309,,40.7149787,-74.013012,2013-01-01 00:00:00
310,,40.68926942,-73.98912867,2013-01-01 00:00:00
311,,40.7172274,-73.98802084,2013-01-01 00:00:00
312,,40.722055,-73.989111,2013-01-01 00:00:00
313,,40.69610226,-73.96751037,2013-01-01 00:00:00
314,2016-04-01 00:00:00,40.69424674,-73.99215922,2013-01-01 00:00:00
315,,40.70355377,-74.00670227,2013-01-01 00:00:00
316,,40.70955958,-74.00653609,2013-01-01 00:00:00
317,,40.72453734,-73.98185424,2013-01-01 00:00:00
318,2015-11-01 00:00:00,40.75320159,-73.9779874,2013-01-01 00:00:00
319,,40.71336124,-74.00937622,2013-01-01 00:00:00
320,,40.71743998,-74.00583475,2013-01-01 00:00:00
321,,40.69991755,-73.98971773,2013-01-01 00:00:00
322,,40.696192,-73.991218,2013-01-01 00:00:00
323,,40.69236178,-73.98631746,2013-01-01 00:00:00
324,,40.689888,-73.981013,2013-01-01 00:00:00
325,,40.73624527,-73.98473765,2013-01-01 00:00:00
326,,40.72953837,-73.98426726,2013-01-01 00:00:00
327,,40.7153379,-74.01658354,2013-01-01 00:00:00
328,,40.72405549,-74.00965965,2013-01-01 00:00:00
329,2016-10-01 00:00:00,40.72043411,-74.01020609,2013-01-01 00:00:00
330,,40.71450451,-74.00562789,2013-01-01 00:00:00
331,,40.71173107,-73.99193043,2013-01-01 00:00:00
332,,40.71219906,-73.97948148,2013-01-01 00:00:00
334,,40.74238787,-73.99726235,2013-01-01 00:00:00
335,,40.72903917,-73.99404649,2013-01-01 00:00:00
336,,40.73047747,-73.99906065,2013-01-01 00:00:00
337,,40.70379920000001,-74.00838676,2013-01-01 00:00:00
339,,40.72580614,-73.97422494,2013-01-01 00:00:00
340,,40.71269042,-73.98776323,2013-01-01 00:00:00
341,,40.71782143,-73.97628939,2013-01-01 00:00:00
342,,40.71739973,-73.98016555,2013-01-01 00:00:00
343,,40.69794,-73.96986848,2013-01-01 00:00:00
344,,40.6851443,-73.95380904,2013-01-01 00:00:00
345,,40.73649403,-73.99704374,2013-01-01 00:00:00
346,,40.73652889,-74.00618026,2013-01-01 00:00:00
347,,40.72873888,-74.00748842,2013-01-01 00:00:00
348,,40.72490985,-74.00154702,2013-01-01 00:00:00
349,,40.71850211,-73.98329859,2013-01-01 00:00:00
350,,40.71559509,-73.9870295,2013-01-01 00:00:00
351,,40.70530954,-74.00612572,2013-01-01 00:00:00
352,,40.76340613,-73.97722479,2013-01-01 00:00:00
353,,40.68539567,-73.97431458,2013-01-01 00:00:00
354,,40.69363137,-73.96223558,2013-01-01 00:00:00
355,,40.71602118,-73.99974372,2013-01-01 00:00:00
356,,40.71622644,-73.98261206,2013-01-01 00:00:00
357,,40.73261787,-73.99158043,2013-01-01 00:00:00
358,,40.73291553,-74.00711384,2013-01-01 00:00:00
359,,40.75510267,-73.97498696,2013-01-01 00:00:00
360,,40.70717936,-74.00887308,2013-01-01 00:00:00
361,,40.71605866,-73.99190759,2013-01-01 00:00:00
362,,40.75172632,-73.98753523,2013-01-01 00:00:00
363,,40.70834698,-74.01713445,2013-01-01 00:00:00
364,,40.68900443,-73.96023854,2013-01-01 00:00:00
365,,40.68223166,-73.9614583,2013-01-01 00:00:00
366,,40.693261,-73.968896,2013-01-01 00:00:00
367,,40.75828065,-73.97069431,2013-01-01 00:00:00
368,,40.73038599,-74.00214988,2013-01-01 00:00:00
369,,40.73224119,-74.00026394,2013-01-01 00:00:00
372,,40.69452800000001,-73.958089,2013-01-01 00:00:00
373,,40.69331716,-73.95381995,2013-01-01 00:00:00
375,2016-07-01 00:00:00,40.72679454,-73.99695094,2013-01-01 00:00:00
376,,40.70862144,-74.00722156,2013-01-01 00:00:00
377,,40.72243797,-74.00566443,2013-01-01 00:00:00
379,,40.749156,-73.9916,2013-01-01 00:00:00
380,,40.73401143,-74.00293877,2013-01-01 00:00:00
382,,40.73492695,-73.99200509,2013-01-01 00:00:00
383,,40.735238,-74.000271,2013-01-01 00:00:00
384,,40.68317813,-73.9659641,2013-01-01 00:00:00
385,,40.75797322,-73.96603308,2013-01-01 00:00:00
386,,40.71494807,-74.00234482,2013-01-01 00:00:00
387,,40.71273266,-74.0046073,2013-01-01 00:00:00
388,,40.749717753,-74.002950346,2013-01-01 00:00:00
389,,40.71044554,-73.96525063,2013-01-01 00:00:00
390,,40.69221589,-73.9842844,2013-01-01 00:00:00
391,,40.69760127,-73.99344559,2013-01-01 00:00:00
392,,40.695065,-73.987167,2013-01-01 00:00:00
393,,40.72299208,-73.97995466,2013-01-01 00:00:00
394,,40.72521311,-73.97768752,2013-01-01 00:00:00
395,,40.68807003,-73.98410637,2013-01-01 00:00:00
